1	1	1	1
1	1	1	1
3	2	2	2
3	3	3	3
3	3	3	3
3	3	3	3
3	2	2	2
3	2	2	2
3	2	2	2
4	3	3	3
5	5	5	5
5	5	5	5
5	3	3	3
4	3	3	3
5	4	4	4
5	4	4	4
5	5	5	5
6	7	7	6
7	5	4	3
7	6	6	6
6	6	6	6
6	5	5	5
6	5	4	4
6	6	5	5
6	6	5	2
6	7	7	7
6	6	5	5
6	5	5	5
6	5	5	4
7	6	6	5
7	6	6	6
7	6	6	6
7	6	6	6
7	6	6	6
7	6	6	6
7	7	7	7
7	7	6	6
8	7	7	7
8	8	7	7
8	7	7	6
9	8	8	7
9	8	8	8
9	8	8	8
9	8	7	7
9	9	8	8
9	8	7	5
9	9	9	9
9	9	9	9
9	9	9	8
9	9	8	8
9	9	8	8
9	9	8	7
9	10	9	9
9	9	9	8
10	9	9	8
10	9	9	8
10	9	9	9
10	10	10	6
10	9	9	8
10	9	9	8
11	9	9	8
11	10	10	9
11	10	10	10
11	11	11	11
11	11	11	10
12	10	10	9
12	10	9	7
12	11	10	10
12	12	11	11
12	12	12	12
12	12	11	11
12	12	12	11
12	12	10	9
13	12	11	9
13	12	12	12
13	12	12	11
13	12	12	11
13	12	12	12
13	13	13	12
13	13	12	11
13	12	11	10
13	12	11	10
13	12	12	11
13	13	13	12
14	14	14	15
14	13	13	13
14	13	12	11
14	12	11	10
14	13	12	11
14	13	13	13
15	14	14	15
