3	3	3	3
3	3	3	3
3	3	3	3
4	3	3	3
4	4	4	4
4	4	4	4
4	3	3	3
5	3	3	3
5	5	5	5
5	5	5	5
5	5	5	5
5	5	5	5
5	5	5	5
5	5	5	5
6	5	5	5
7	6	6	6
7	7	7	7
7	7	7	7
7	7	7	7
7	7	7	7
7	7	7	7
7	7	7	7
8	7	7	7
9	9	9	9
9	9	9	6
9	9	9	9
9	9	9	9
9	8	8	8
9	8	8	7
9	9	9	9
9	10	9	9
9	9	9	9
9	9	9	9
9	9	8	8
9	9	9	9
9	10	11	11
9	9	9	9
9	9	9	9
9	9	9	9
9	9	9	9
10	9	9	9
11	10	10	10
11	10	10	10
11	11	11	11
11	11	11	11
11	11	11	11
11	11	11	11
11	11	11	11
11	11	11	11
12	12	11	11
12	13	13	13
13	13	12	12
13	13	13	13
13	13	13	13
13	13	12	12
13	12	12	12
13	14	13	13
13	13	13	12
13	13	13	13
13	13	12	12
13	13	12	12
13	13	13	13
13	13	13	13
13	14	15	15
13	13	13	13
13	13	13	13
14	13	13	13
14	13	13	13
14	14	14	15
15	15	15	14
15	15	15	15
15	15	15	15
15	15	15	15
15	15	15	15
15	15	15	16
15	15	15	15
15	15	15	15
16	17	17	17
16	17	16	16
16	17	16	16
16	17	16	16
16	16	16	16
17	16	16	15
17	17	17	17
17	17	17	17
17	17	17	17
17	17	16	15
17	16	15	15
17	16	16	15
17	17	17	17
17	17	19	19
